adler | Human beings live in the realm of meanings. We do not experience pure circumstances; we always experience circumstances in their significance for men. | Preface and Introduction
adler | If we could train our children to the right degree of ability to cooperate, if we could develop them in social interest, the number of criminals would diminish very considerably. | Crime and Its Prevention
adler | The majority of criminals begin their careers very early. It is generally in adolescence that they start, and perhaps in the years between fifteen and twenty-eight crimes are most frequent. | Crime and Its Prevention
adler | We can make teachers the instruments of our social progress: we can train our teachers to correct mistakes made in the family, to develop and spread the social interest of the children towards others. | Crime and Its Prevention
adler | If we lived on a planet which offered us everything we needed without work, it would perhaps be a virtue to be lazy and a vice to be industrious. | Occupation
adler | As far as we can understand from our relation to our own planet, earth, the logical answer to the problem of occupation, the only answer in accordance with common sense, is that we should work, cooperate and contribute. | Occupation
adler | This has always been felt in the intuitions of mankind: we can see its necessity, now, from the scientific angle. | Occupation
adler | Mankind only calls those individuals geniuses who have contributed much to the common welfare. | Occupation
adler | We cannot imagine a genius who has left no advantage to mankind behind him. | Occupation
adler | The arts are the product of the most cooperative of all individuals, and the great geniuses of mankind have raised the whole level of our culture. | Occupation
adler | There can be no question but that geniuses have been the most cooperative of all human beings. | Occupation
adler | In almost all outstanding people we find some organ imperfection; and we gather the impression that they were sorely confronted at the beginning of life but struggled and overcame their difficulties. | Occupation
adler | From this early training we can conclude that their art and their genius was their own creation, not an undeserved gift of nature or inheritance. | Occupation
adler | This early striving is the best foundation for later success. | Occupation
adler | If the value of money is overstressed in family life, the children will be tempted to look at the problem of occupation only in the light of the money they can make. | Occupation
adler | That everyone should earn his living is a truth; and it is true, also, that we find people who neglect this point and make themselves a charge on others. | Occupation
adler | But if a child is only interested in making money he can easily lose the path of cooperation and look only after his own advantages. | Occupation
adler | If 'to make money' is his only goal and no social interest is bound up with it, there is no possible reason why he should not make money by robbing and swindling other people. | Occupation
adler | An occupation can sometimes be used to evade and be made into an excuse for evading the problems of society and love. | Occupation
adler | Very often in our social life an exaggeration of activity in business can be chosen as a means to get rid of the problem of love and marriage. | Occupation
adler | Sometimes we find it used as an excuse for failure. A man devotes himself furiously to his business, and thinks, 'I have no time to spare for my marriage, and so I am not responsible for its unhappiness.' | Occupation
adler | Our first point with problem children is to find out their main interest. Through this it is easier to encourage them on the whole. | Occupation
adler | In cases of young people who have not been able to settle on an occupation, or older people who have been occupational failures, their real interest should be found out and used, in the right hands, to give them vocational guidance, combined with an effort to find them employment. | Occupation
adler | In our own time the great number of unemployed is a matter for alarm. This is not the right expression for a time in which people are trying to improve cooperation. | Occupation
adler | I believe therefore that everybody who has seen the importance of cooperation should strive to see that there are no unemployed individuals, that work is open to everybody who wants it. | Occupation
adler | We may be helped in this way by furthering movements for training schools, technical schools and adult education. | Occupation
adler | It is a great burden for mankind to have untrained members of society and members who are not interested in the common welfare. | Occupation
adler | Because of their lack of training, they lag in the rear of mankind. | Occupation
adler | All parents and teachers and all who are interested in the future development and improvement of mankind should make efforts that all children are better trained and that such a great number of them do not come into adult life with no special place in the division of labor. | Occupation
adler | If each partner is to be more interested in the other partner than in himself, there must be equality. | Love and Marriage
adler | Equality is only possible if both partners have this attitude. It should be the effort of each to ease and enrich the life of the other. | Love and Marriage
adler | Here we find the fundamental guarantee of marriage, the fundamental meaning of happiness in this relation. | Love and Marriage
adler | It is the feeling that you are worthwhile, that you cannot be replaced, that your partner needs you, that you are acting well, that you are a fellow man and a true friend. | Love and Marriage
adler | Two people cannot live together fruitfully if one wishes to rule and force the other to obey. | Love and Marriage
adler | This is the reason why we have so many unhappy marriages. Nobody can bear a position of inferiority without anger and disgust. | Love and Marriage
adler | Comrades must be equal, and when people are equal, they will always find a way to settle their difficulties. | Love and Marriage
adler | In our present-day civilization people are not often well prepared for cooperation. | Love and Marriage
adler | Our training has been too much towards individual success, towards considering what we can get out of life rather than what we can give to it. | Love and Marriage
adler | Most people are experiencing this close relationship for the first time. They are unaccustomed to consulting another human being's interests and aims, desires, hopes and ambitions. | Love and Marriage
adler | The preparation for marriage is not overnight. In a child's characteristic behavior, in his attitudes, thoughts and actions, we can see how he is training himself for adult situations. | Love and Marriage
adler | Early in the development of a child we can see that he is already forming his outlook on love and marriage. | Love and Marriage
adler | We should take it as a step forward in their preparation for love and marriage. Instead of making a trifle out of it, we should rather agree with the child that love is a marvelous task. | Love and Marriage
adler | Thus we can implant an ideal in the child's mind, and later in life children will be able to meet each other as very well-prepared comrades and as friends in an intimate devotion. | Love and Marriage
adler | I should never encourage parents to explain the physical relations of sex too early in life or to explain more than their children wish to learn. | Love and Marriage
adler | In my own experience children who were introduced to the facts of adult relations in early life, at four, five or six years of age, and children who had precocious experiences, are always more scared of love in later life. | Love and Marriage
adler | The key to helpfulness is never to lie to a child, never to evade his questions, to understand what is behind his questions, to explain only as much as he wishes to learn and only as much as we are sure he can understand. | Love and Marriage
adler | Children gain their earliest impression of what marriage is like from the life of their parents; and it is not astonishing that the greatest number of failures in life are among the children of broken marriages and unhappy family life. | Love and Marriage
adler | If the parents are not able themselves to cooperate, it will be impossible for them to teach cooperation to their children. | Love and Marriage
adler | The worst preparation is when an individual is always looking for his own interest. If he has been trained in this way, he will be thinking all the while what pleasure or excitement he can get out of life. | Love and Marriage
adler | A good marriage is the best means we have for bringing up the future generation of mankind; and marriage should always have this in view. | Love and Marriage
adler | It is impossible to have the real intimate devotion of love if we limit our responsibility to five years or regard the marriage as a trial period. | Love and Marriage
adler | We know what characteristics are necessary for a love partnership — to be faithful and true and trustworthy, not to be reserved, not to be self-seeking. | Love and Marriage
adler | It is not even possible to carry through a true comradeship if both partners have agreed to preserve their freedom. This is not comradeship. | Love and Marriage
adler | I believe that the intimate devotion of love and marriage is best secured if there have not been sexual relations before the marriage. | Love and Marriage
